date,ETH in pool,USD in pool
2020-09-07T00:00:00+00:00,15279.9000000000000000,3543883.877000002
2020-09-06T00:00:00+00:00,16135.3000000000000000,3846361.871000002
2020-09-05T00:00:00+00:00,16146.3000000000000000,3850052.481000002
2020-09-04T00:00:00+00:00,15889.3000000000000000,3750444.421000002
2020-09-03T00:00:00+00:00,13502.3000000000000000,2832428.091000002
2020-09-02T00:00:00+00:00,12801.0000000000000000,2523863.104000002
2020-09-01T00:00:00+00:00,13235.0000000000000000,2730434.084000002
2020-08-31T00:00:00+00:00,14119.7000000000000000,3114473.507000002
2020-08-30T00:00:00+00:00,14088.5000000000000000,3101116.787000002
2020-08-29T00:00:00+00:00,14034.4000000000000000,3079470.836000002
2020-08-28T00:00:00+00:00,14627.5000000000000000,3314213.885000002
2020-08-27T00:00:00+00:00,14827.0000000000000000,3390566.5250000022
2020-08-26T00:00:00+00:00,15005.7000000000000000,3459696.6200000024
2020-08-25T00:00:00+00:00,14835.1000000000000000,3394233.988000002
2020-08-24T00:00:00+00:00,14784.0000000000000000,3373400.518000002
2020-08-23T00:00:00+00:00,16557.9000000000000000,4068219.409000002
2020-08-22T00:00:00+00:00,16355.4000000000000000,3987916.009000002
2020-08-21T00:00:00+00:00,17723.4000000000000000,4518590.569000002
2020-08-20T00:00:00+00:00,15768.0000000000000000,3704322.9010000015
2020-08-19T00:00:00+00:00,14549.2000000000000000,3207795.9690000014
2020-08-18T00:00:00+00:00,12664.1000000000000000,2409512.672000001
2020-08-17T00:00:00+00:00,12855.5000000000000000,2491847.2100000014
2020-08-16T00:00:00+00:00,12704.5000000000000000,2426293.5800000015
2020-08-15T00:00:00+00:00,12495.5000000000000000,2335758.9600000014
2020-08-14T00:00:00+00:00,14617.5000000000000000,3264558.3600000013
2020-08-13T00:00:00+00:00,13807.6000000000000000,2922254.1250000014
2020-08-12T00:00:00+00:00,13899.9000000000000000,2958006.530000001
2020-08-11T00:00:00+00:00,14357.7000000000000000,3131585.978000001
2020-08-10T00:00:00+00:00,16191.7000000000000000,3858455.198000001
2020-08-09T00:00:00+00:00,16575.8000000000000000,4008596.0470000007
2020-08-08T00:00:00+00:00,16455.1000000000000000,3960847.127000001
2020-08-07T00:00:00+00:00,16913.1000000000000000,4134928.347000001
2020-08-06T00:00:00+00:00,16340.1000000000000000,3908346.957000001
2020-08-05T00:00:00+00:00,15782.1000000000000000,3684700.557000001
2020-08-04T00:00:00+00:00,15662.5000000000000000,3638078.085000001
2020-08-03T00:00:00+00:00,16410.2000000000000000,3926525.7910000007
2020-08-02T00:00:00+00:00,16435.7000000000000000,3935982.4660000005
2020-08-01T00:00:00+00:00,16735.4000000000000000,4051606.7260000003
2020-07-31T00:00:00+00:00,16737.6000000000000000,4052367.4420000003
2020-07-30T00:00:00+00:00,16735.6000000000000000,4051698.5820000004
2020-07-29T00:00:00+00:00,16172.7000000000000000,3872679.4950000006
2020-07-28T00:00:00+00:00,14766.2000000000000000,3427156.5550000006
2020-07-27T00:00:00+00:00,13952.2000000000000000,3165219.4950000006
2020-07-26T00:00:00+00:00,12712.2000000000000000,2780583.8950000005
2020-07-25T00:00:00+00:00,12574.7000000000000000,2738888.3950000005
2020-07-24T00:00:00+00:00,12778.1000000000000000,2795651.2330000005
2020-07-23T00:00:00+00:00,11622.2000000000000000,2478715.0120000006
2020-07-22T00:00:00+00:00,11628.2000000000000000,2480284.732000001
2020-07-21T00:00:00+00:00,11361.5000000000000000,2414911.2280000006
2020-07-20T00:00:00+00:00,11410.5000000000000000,2426471.3080000007
2020-07-19T00:00:00+00:00,11263.5000000000000000,2391313.3180000004
2020-07-18T00:00:00+00:00,11583.5000000000000000,2466929.3180000004
2020-07-17T00:00:00+00:00,10878.6000000000000000,2302046.1590000005
2020-07-16T00:00:00+00:00,10551.8000000000000000,2225391.9510000004
2020-07-15T00:00:00+00:00,10556.7000000000000000,2226565.893
2020-07-14T00:00:00+00:00,10371.9000000000000000,2181936.693
2020-07-13T00:00:00+00:00,10444.4000000000000000,2199385.268
2020-07-12T00:00:00+00:00,10324.9000000000000000,2170269.0930000003
2020-07-11T00:00:00+00:00,10178.0000000000000000,2134967.5540000005
2020-07-10T00:00:00+00:00,10372.0000000000000000,2181931.0740000005
2020-07-09T00:00:00+00:00,9059.1000000000000000,1862922.6320000007
2020-07-08T00:00:00+00:00,9120.7000000000000000,1878176.6400000006
2020-07-07T00:00:00+00:00,8877.5000000000000000,1819794.0480000007
2020-07-06T00:00:00+00:00,8959.5000000000000000,1839631.4880000006
2020-07-05T00:00:00+00:00,9257.2000000000000000,1907807.7650000006
2020-07-04T00:00:00+00:00,9497.8000000000000000,1963229.9750000006
2020-07-03T00:00:00+00:00,9647.6000000000000000,1997126.7190000005
