address,name,stakedLQTY,heldLQTY,totalLQTY
0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,,,36505.701271169868939014000000000000000000,36505.701271169868939014000000000000000000
0x79c0f41a9f1b9c40747879358be2b137b0cb1547,,36455.711596420199,-0.0000000000001026,36455.7115964201988974
0xa31b086125de7c3bfafabfaf738fd1f0925b6fbb,Lockup Contract,,35710.000000000000,35710.000000000000
0xf5067d3fee4d4306dd5de03a9fe5b85de279d0ca,Lockup Contract,,35710.000000000000,35710.000000000000
0x0639076265e9f88542c91dcdeda65127974a5ca5,,,35363.747284210260681666000000000000000000,35363.747284210260681666000000000000000000
0x85d5c66ffac4ad49677a328923d40246cb0a385d,,34923.120000000000,0.005450670091,34923.125450670091
0x0662fd47894a610e82a194236d2056e3abcc9851,,33973.543629905403,0.0000000000000000,33973.5436299054030000
0x6c6541cc3ec6bfc2d7b0ca48ccb0225cbbea9b59,,33467.307536082974,-0.000000000000138000000000000000000000,33467.307536082973862000000000000000000000
0xd778555afa02af57f077bd48b1204c5405d28887,,32158.840098111639,0.0000000000003336,32158.8400981116393336
0xef8527a364ccee8ebd2c5dd17244449e884890f4,,29250.212263226498,1518.61906372867604996900,30768.83132695517404996900
0xf96da4775776ea43c42795b116c7a6eccd6e71b5,,30022.922424286793,-0.00000000000000022900,30022.92242428679299977100
0x539469d5453f60f97a7878d66d97c56a8d7f4d94,,29000.000000000000,0.0000000000000000,29000.0000000000000000
0x2d24e67a7f502d24631e5734e79cd0a63cd7533c,,28908.694324722416,0.0000000000000731,28908.6943247224160731
0x69a9e28939c80ed9498e069964a579e684845b1e,,,28381.8165188569514241,28381.8165188569514241
0xd6c2c2b167e89dcd4ea299435825b49a65f2365b,,,27871.007036816773,27871.007036816773
0x0147fa8c03ed41f5aab65b32703860b9e3eb7679,,27778.397778862043,0.000000000000000000000000000000000000,27778.397778862043000000000000000000000000
0x621066a524d6f4a456f86a5508cd14b74ed97dba,,27514.258888251580,0.0000000000004327,27514.2588882515804327
