endDate,TVL (ETH),TVL (USD)
2021-05-23T04:48:00+00:00,877354.852350013090542126000000000000000000,2016284280.379659
2021-05-23T05:52:00+00:00,877139.499060491557511126000000000000000000,1966222215.2789698
2021-05-23T06:57:00+00:00,877119.499060491557511126000000000000000000,1943486301.238275
2021-05-23T07:58:00+00:00,876739.537345400773631809000000000000000000,1894958533.832229
2021-05-23T08:54:00+00:00,876694.537345400773631809000000000000000000,1792603621.3462613
2021-05-23T09:44:00+00:00,876785.037345400773631809000000000000000000,1816479401.1203341
2021-05-23T10:56:00+00:00,876493.451806826230263853000000000000000000,1866554160.1642632
2021-05-23T11:58:00+00:00,876473.767031604686173253000000000000000000,1864031819.2967947
2021-05-23T12:59:00+00:00,875080.019190290166906253000000000000000000,1704647126.5824933
2021-05-23T13:59:00+00:00,878025.013030308083675101000000000000000000,1737681742.788022
2021-05-23T14:57:00+00:00,894323.995401870016167934000000000000000000,1781672263.6396055
2021-05-23T15:59:00+00:00,904211.823330890507901310000000000000000000,1742443309.9133258
2021-05-23T16:58:00+00:00,903156.465813990526210822000000000000000000,1682445022.3415923
2021-05-23T17:53:00+00:00,898624.341966526273599780000000000000000000,1735198673.1202638
2021-05-23T18:58:00+00:00,898640.849252393528782980000000000000000000,1713141955.7892854
2021-05-23T19:58:00+00:00,890804.869757973286956208000000000000000000,1752685305.394905
2021-05-23T20:58:00+00:00,887578.005857973286956208000000000000000000,1847360482.4924924
2021-05-23T21:59:00+00:00,887649.505857973286956208000000000000000000,1863415978.1624675
2021-05-23T22:46:00+00:00,887473.045857973286956208000000000000000000,1847044401.9614482
2021-05-23T23:41:00+00:00,848114.108157973286956208000000000000000000,1775170677.5032907
2021-05-24T00:38:00+00:00,848150.353308288209721662000000000000000000,1835600920.6439297
2021-05-24T01:50:00+00:00,848165.353308288209721662000000000000000000,1816286732.5349677
2021-05-24T02:53:00+00:00,848188.353308288209721662000000000000000000,1832137734.447101
2021-05-24T03:57:00+00:00,848143.353308288209721662000000000000000000,1819946007.5289252
2021-05-24T04:50:00+00:00,848177.326908288209721662000000000000000000,1789425151.898223
2021-05-24T05:59:00+00:00,848277.837689070318184315000000000000000000,1813388981.963056
2021-05-24T06:50:00+00:00,848316.337689070318184315000000000000000000,1843060558.426651
2021-05-24T07:49:00+00:00,848269.237689070318184315000000000000000000,1932365806.1480792
2021-05-24T08:56:00+00:00,848274.968965533522800615000000000000000000,1947333949.7560372
2021-05-24T09:57:00+00:00,848436.421365533522800615000000000000000000,1905197921.63316
2021-05-24T10:49:00+00:00,848504.809106001366095715000000000000000000,1901058054.7058141
2021-05-24T11:50:00+00:00,848821.809106001366095715000000000000000000,2016715736.2549489
2021-05-24T12:58:00+00:00,849252.809106001366095715000000000000000000,2067140785.0606449
2021-05-24T14:38:00+00:00,849411.031562929003902415000000000000000000,2047649691.457806
2021-05-24T15:39:00+00:00,849585.001602987021079145000000000000000000,2135584826.8293965
2021-05-24T16:43:00+00:00,850065.367302987021079145000000000000000000,2101225577.5142155
2021-05-24T17:32:00+00:00,850100.367302987021079145000000000000000000,2116375870.4228244
2021-05-24T18:53:00+00:00,850033.395255779679205345000000000000000000,2183888798.423244
2021-05-24T19:49:00+00:00,850028.395255779679205345000000000000000000,2225620847.0142555
2021-05-24T20:54:00+00:00,850180.477094456788950892000000000000000000,2225508933.0853887
2021-05-24T21:55:00+00:00,850111.477094456788950892000000000000000000,2230326967.9607043
2021-05-24T22:44:00+00:00,852723.977094456788950892000000000000000000,2176739969.089249
2021-05-24T23:33:00+00:00,851770.361094456788950892000000000000000000,2235258370.102128
2021-05-25T00:56:00+00:00,851107.256717728928931592000000000000000000,2321105666.2303214
2021-05-25T01:53:00+00:00,850471.796717728928931592000000000000000000,2265010507.8905244
2021-05-25T02:38:00+00:00,850515.710117728928931592000000000000000000,2255831323.1023536
2021-05-25T03:57:00+00:00,850591.716017728928931592000000000000000000,2203815088.864654
2021-05-25T04:36:00+00:00,850602.962023153632214692000000000000000000,2189545590.57342
2021-05-25T05:57:00+00:00,850632.614009919329413002000000000000000000,2207961557.2071276
2021-05-25T06:59:00+00:00,850638.657942538865193902000000000000000000,2270890480.40314
2021-05-25T07:44:00+00:00,850638.657942538865193902000000000000000000,2244946001.3358927
2021-05-25T08:52:00+00:00,850768.657942538865193902000000000000000000,2197858735.555596
2021-05-25T09:53:00+00:00,850781.247028680211310956000000000000000000,2176596203.335824
2021-05-25T10:56:00+00:00,850632.247028680211310956000000000000000000,2084355232.829197
2021-05-25T11:59:00+00:00,852343.816228680211310956000000000000000000,2052980886.082886
2021-05-25T12:59:00+00:00,852383.816228680211310956000000000000000000,2094673561.5148454
2021-05-25T13:07:00+00:00,852295.716228680211310956000000000000000000,2126043141.1752803
2021-05-25T14:56:00+00:00,852295.889813004953622556000000000000000000,2219992150.1137304
2021-05-25T15:28:00+00:00,852287.009185444323731847000000000000000000,2196701583.214748
2021-05-25T16:53:00+00:00,852310.009185444323731847000000000000000000,2213449093.854599
2021-05-25T17:49:00+00:00,852356.001785444323731847000000000000000000,2201976495.012517
2021-05-25T18:54:00+00:00,852357.191151441452492835000000000000000000,2211585633.164911
2021-05-25T19:44:00+00:00,853007.191151441452492835000000000000000000,2202106304.532738
2021-05-25T20:48:00+00:00,853060.481551441452492835000000000000000000,2178835898.3497987
2021-05-25T21:48:00+00:00,853033.125172843958976065000000000000000000,2228480796.864041
2021-05-25T22:59:00+00:00,852985.434603256367266490000000000000000000,2315565439.900076
2021-05-25T23:54:00+00:00,853033.434603256367266490000000000000000000,2294250483.03415
2021-05-26T00:57:00+00:00,847733.000672843958976090000000000000000000,2276536109.3268824
2021-05-26T01:54:00+00:00,847738.700672843958976090000000000000000000,2336469587.6984386
2021-05-26T02:39:00+00:00,844444.700672843958976090000000000000000000,2378614943.9612536
2021-05-26T03:52:00+00:00,844596.500672843958976090000000000000000000,2391584789.2002454
2021-05-26T04:55:00+00:00,844590.180672843958976100000000000000000000,2375207181.4990125
2021-05-26T05:51:00+00:00,831988.709199350880113900000000000000000000,2347980295.892764
2021-05-26T06:56:00+00:00,832000.709199350880113900000000000000000000,2396960763.174962
2021-05-26T07:34:00+00:00,833013.709199350880113900000000000000000000,2399262745.5101542
2021-05-26T08:53:00+00:00,857870.088599350880113900000000000000000000,2458038007.4619484
2021-05-26T09:05:00+00:00,857870.088599350880113900000000000000000000,2452127282.5514984
2021-05-26T10:01:00+00:00,857876.868599350880113900000000000000000000,2449101199.552171
2021-05-26T11:41:00+00:00,858049.368599350880113900000000000000000000,2422728133.7213254
2021-05-26T12:57:00+00:00,858285.868599350880113900000000000000000000,2450191583.383997
2021-05-26T13:43:00+00:00,858285.868599350880113900000000000000000000,2363702116.4052405
2021-05-26T14:58:00+00:00,858249.868599350880113900000000000000000000,2367104632.5891256
2021-05-26T15:22:00+00:00,858417.868599350880113900000000000000000000,2335858030.6030655
2021-05-26T16:59:00+00:00,858398.609911251767492708000000000000000000,2334646787.2783256
2021-05-26T17:57:00+00:00,897680.109911251767492708000000000000000000,2450774421.6709065
2021-05-26T18:44:00+00:00,897849.609911251767492708000000000000000000,2456013736.9356346
2021-05-26T19:53:00+00:00,898855.509911251767492708000000000000000000,2458693407.590842
2021-05-26T20:51:00+00:00,898916.819111251767492708000000000000000000,2509380235.558206
2021-05-26T21:27:00+00:00,899136.819111251767492708000000000000000000,2513716805.1893263
2021-05-26T22:51:00+00:00,898904.295111251767492708000000000000000000,2541588971.126406
2021-05-26T23:44:00+00:00,899148.693940522880324781000000000000000000,2586841800.9799447
2021-05-27T00:55:00+00:00,899651.193940522880324781000000000000000000,2541802511.264038
2021-05-27T01:53:00+00:00,903098.825080522880324781000000000000000000,2456067564.68899
2021-05-27T02:56:00+00:00,909549.625080522880324781000000000000000000,2471792061.118829
2021-05-27T03:40:00+00:00,909571.225080522880324781000000000000000000,2447819889.5122013
2021-05-27T04:53:00+00:00,909741.481180522880324781000000000000000000,2452581156.529383
2021-05-27T05:15:00+00:00,909743.781180522880324781000000000000000000,2434028583.986301
2021-05-27T06:51:00+00:00,910028.781180522880324781000000000000000000,2500931996.152501
2021-05-27T07:52:00+00:00,911089.481180522880324781000000000000000000,2496767836.0167284
2021-05-27T08:25:00+00:00,911109.281180522880324781000000000000000000,2491328107.36721
2021-05-27T09:55:00+00:00,911498.981180522880324781000000000000000000,2543054812.524223
2021-05-27T10:57:00+00:00,911458.981180522880324781000000000000000000,2537911960.1481066
2021-05-27T11:59:00+00:00,911512.981180522880324781000000000000000000,2583018140.67993
2021-05-27T12:58:00+00:00,911712.981180522880324781000000000000000000,2547298718.028945
2021-05-27T13:58:00+00:00,912439.481180522880324781000000000000000000,2586820675.515653
2021-05-27T14:38:00+00:00,912492.281180522880324781000000000000000000,2609737049.0991073
2021-05-27T15:59:00+00:00,912493.481180522880324781000000000000000000,2562281695.154908
2021-05-27T16:46:00+00:00,912933.481180522880324781000000000000000000,2537060402.8702965
2021-05-27T17:21:00+00:00,915438.481180522880324781000000000000000000,2551034106.7361393
2021-05-27T18:58:00+00:00,915479.711180522880324781000000000000000000,2554032762.6427584
2021-05-27T19:55:00+00:00,915687.311180522880324781000000000000000000,2523377837.1663904
2021-05-27T20:57:00+00:00,916039.311180522880324781000000000000000000,2497810191.761491
2021-05-27T21:48:00+00:00,916065.511180522880324781000000000000000000,2541651242.7356963
2021-05-27T22:31:00+00:00,917000.276250522880324781000000000000000000,2552653668.9985805
2021-05-27T23:37:00+00:00,917019.130020281918798381000000000000000000,2507643832.188262
2021-05-28T00:48:00+00:00,917194.450020281918798381000000000000000000,2498520229.35575
2021-05-28T01:35:00+00:00,916606.556520281918798381000000000000000000,2487404378.494654
2021-05-28T03:57:00+00:00,916655.366643766776005281000000000000000000,2492413441.565401
2021-05-28T04:49:00+00:00,918183.038443766776005281000000000000000000,2448454435.8053017
2021-05-28T05:52:00+00:00,918265.911735410373514881000000000000000000,2373359258.130459
2021-05-28T06:57:00+00:00,918417.886038726932370981000000000000000000,2347099565.38171
2021-05-28T07:56:00+00:00,918487.086038726932370981000000000000000000,2359244298.940795
