hour,totalLusdPaid,totalLusdClaimed,totalEthPaid,totalEthClaimed
2021-11-27T09:00:00+00:00,20803554.722733680651219022000000000000000000,18767788.267292528899186080000000000000000000,969.068314878916588555000000,835.994470244642698997000000000000000000
2021-11-27T10:00:00+00:00,20803554.722733680651219022000000000000000000,18770614.672208232600176180000000000000000000,969.068314878916588555000000,836.190406927198058124000000000000000000
2021-11-27T11:00:00+00:00,20803854.752163641636459022000000000000000000,18771197.072200956764964480000000000000000000,969.068314878916588555000000,836.191057044177824925000000000000000000
2021-11-27T12:00:00+00:00,20803874.753554528675229322000000000000000000,18815506.605078276709096580000000000000000000,969.068314878916588555000000,837.849449096854759591000000000000000000
2021-11-27T13:00:00+00:00,20812509.725496409859039522000000000000000000,18815539.375336668170472580000000000000000000,969.068314878916588555000000,837.849449096854759591000000000000000000
2021-11-27T14:00:00+00:00,20812509.725496409859039522000000000000000000,18815949.785092264659332180000000000000000000,969.082472084100828132000000,837.879245670478400795000000000000000000
2021-11-27T15:00:00+00:00,20812559.790115823367684722000000000000000000,18816544.209011344235836380000000000000000000,969.082472084100828132000000,837.934358921001978992000000000000000000
2021-11-27T16:00:00+00:00,20812559.790115823367684722000000000000000000,18816556.165865458007624680000000000000000000,969.082472084100828132000000,837.934386803800014862000000000000000000
2021-11-27T17:00:00+00:00,20812559.790115823367684722000000000000000000,18816841.321609430719654680000000000000000000,969.082472084100828132000000,837.973716938771879862000000000000000000
2021-11-27T18:00:00+00:00,20816389.967474926236797722000000000000000000,18823370.611170877071947480000000000000000000,969.082472084100828132000000,838.779850480763114984000000000000000000
2021-11-27T19:00:00+00:00,20816389.967474926236797722000000000000000000,18824260.605980776647470980000000000000000000,969.082472084100828132000000,838.852013889606820943000000000000000000
2021-11-27T20:00:00+00:00,20816490.062054025580841422000000000000000000,18824311.664360887544973180000000000000000000,969.082472084100828132000000,838.852025084607407641000000000000000000
2021-11-27T21:00:00+00:00,20816490.062054025580841422000000000000000000,18826864.811994393047552080000000000000000000,969.082472084100828132000000,838.852769540106319050000000000000000000
2021-11-27T22:00:00+00:00,20816700.241681280589591822000000000000000000,18827204.665121486126486880000000000000000000,969.082472084100828132000000,838.883923708549064118000000000000000000
2021-11-27T23:00:00+00:00,20816700.241681280589591822000000000000000000,18827655.707143582032546180000000000000000000,969.082472084100828132000000,838.912237415778505381000000000000000000
2021-11-28T00:00:00+00:00,20845374.768428801940591822000000000000000000,18827655.707143582032546180000000000000000000,969.082472084100828132000000,838.912237415778505381000000000000000000
2021-11-28T01:00:00+00:00,20845374.768428801940591822000000000000000000,18828340.895452726664227880000000000000000000,969.082472084100828132000000,838.953555737565081806000000000000000000
2021-11-28T02:00:00+00:00,20852716.223086884678496822000000000000000000,18829145.343001286351209180000000000000000000,969.082472084100828132000000,839.004508453236810497000000000000000000
2021-11-28T03:00:00+00:00,20853266.573673248836693922000000000000000000,18830284.724937059588286080000000000000000000,969.082472084100828132000000,839.007254412715012626000000000000000000
2021-11-28T04:00:00+00:00,20888518.341509953068134622000000000000000000,18836901.128912815703370780000000000000000000,969.082472084100828132000000,839.014541523657894639000000000000000000
2021-11-28T05:00:00+00:00,20889268.520671675239329622000000000000000000,18836901.128912815703370780000000000000000000,969.082472084100828132000000,839.014541523657894639000000000000000000
2021-11-28T06:00:00+00:00,20889277.525575235882700022000000000000000000,18837096.541501643472979380000000000000000000,969.082472084100828132000000,839.015213180753794179000000000000000000
2021-11-28T07:00:00+00:00,20889277.525575235882700022000000000000000000,18843861.210379785737979880000000000000000000,969.084681048885217238000000,839.016769690580739323000000000000000000
2021-11-28T08:00:00+00:00,20889277.525575235882700022000000000000000000,18844640.343983983896520180000000000000000000,969.084681048885217238000000,839.106016174791918753000000000000000000
2021-11-28T09:00:00+00:00,20889577.712115662328551222000000000000000000,18844722.137203621297056680000000000000000000,969.084681048885217238000000,839.106700919137306253000000000000000000
2021-11-28T10:00:00+00:00,20890440.622232883702344122000000000000000000,18845142.718978744987067480000000000000000000,969.084681048885217238000000,839.154059935358612453000000000000000000
2021-11-28T11:00:00+00:00,20893051.315642583316716522000000000000000000,18845142.718978744987067480000000000000000000,969.084681048885217238000000,839.154059935358612453000000000000000000
2021-11-28T12:00:00+00:00,20893195.889955372924382322000000000000000000,18846041.382740643262503480000000000000000000,969.084681048885217238000000,839.154126180430960453000000000000000000
2021-11-28T13:00:00+00:00,20893266.550104662381932722000000000000000000,18846041.382740643262503480000000000000000000,969.084681048885217238000000,839.154126180430960453000000000000000000
2021-11-28T14:00:00+00:00,20893266.550104662381932722000000000000000000,18964831.067670112641158780000000000000000000,969.084681048885217238000000,856.303184799813584605000000000000000000
2021-11-28T15:00:00+00:00,20893266.550104662381932722000000000000000000,18966241.069084583910773080000000000000000000,969.084681048885217238000000,856.416778091225566722000000000000000000
2021-11-28T17:00:00+00:00,20898318.445679243888352822000000000000000000,18966241.069084583910773080000000000000000000,969.084681048885217238000000,856.416778091225566722000000000000000000
