hour,lusdIn,lusdOut,virtualLiquidity
2021-12-12T02:00:00+00:00,6523.8098018280243252,-16064.475937392200,136678.148694531959
2021-12-12T03:00:00+00:00,30222.589091937326,0,136678.148694531959
2021-12-12T04:00:00+00:00,25602.924877974506,0,136678.148694531959
2021-12-12T05:00:00+00:00,,,136678.148694531959
2021-12-12T06:00:00+00:00,,,136678.148694531959
2021-12-12T07:00:00+00:00,35799.261708492966,0,136678.148694531959
2021-12-12T08:00:00+00:00,195.5154684057806120,0,136678.148694531959
2021-12-12T09:00:00+00:00,0,-115948.694978014921,136678.148694531959
2021-12-12T10:00:00+00:00,32060.274670457836,-59209.994052371028,136678.148694531959
2021-12-12T11:00:00+00:00,2585.9213881925227832,-4203.4664435068815575,136678.148694531959
2021-12-12T12:00:00+00:00,6988.2644000000000000,-36671.9223886907922273,136678.148694531959
2021-12-12T13:00:00+00:00,109155.222254261622,-40267.1658542266671249,136678.148694531959
2021-12-12T14:00:00+00:00,112262.959770791094,-50853.253055899454,136678.148694531959
2021-12-12T15:00:00+00:00,0,-40603.693802704578,150216.403723633084
2021-12-12T16:00:00+00:00,118546.871014819583,-126792.736397730021,150216.403723633084
2021-12-12T17:00:00+00:00,0,-39493.6116428663097485,150216.403723633084
2021-12-12T18:00:00+00:00,849.8880186411492242,-62178.137369821295,150216.403723633084
2021-12-12T19:00:00+00:00,377879.626625024986,-100751.749476869604,150216.403723633084
2021-12-12T20:00:00+00:00,111677.968439762158,-119494.2252112042999798,150216.403723633084
2021-12-12T21:00:00+00:00,,,150216.403723633084
2021-12-12T22:00:00+00:00,0,-4248.0102869780923264,150216.403723633084
2021-12-12T23:00:00+00:00,,,150216.403723633084
2021-12-13T00:00:00+00:00,,,150216.403723633084
2021-12-13T01:00:00+00:00,80019.320634775051,0,150216.403723633084
2021-12-13T02:00:00+00:00,,,150216.403723633084
2021-12-13T03:00:00+00:00,0,-99343.930898275837,150216.403723633084
2021-12-13T04:00:00+00:00,40000.000000000000,-2163.4074966645672527,150216.403723633084
2021-12-13T05:00:00+00:00,0,-46208.122696382246,150216.403723633084
2021-12-13T06:00:00+00:00,0,-11370.302600130394,150216.403723633084
2021-12-13T07:00:00+00:00,3799.9029553750736982,0,150216.403723633084
2021-12-13T08:00:00+00:00,,,150216.403723633084
2021-12-13T09:00:00+00:00,194237.0388044306016698,-149676.337262833233,150216.403723633084
2021-12-13T10:00:00+00:00,,,150216.403723633084
2021-12-13T11:00:00+00:00,11637.4097459977605249,-49812.691568051063,150216.403723633084
2021-12-13T12:00:00+00:00,,,150216.403723633084
2021-12-13T13:00:00+00:00,46178.061321577436,-11489.848749036825,150216.403723633084
2021-12-13T14:00:00+00:00,120105.103049413657,-156180.480129244558,150216.403723633084
2021-12-13T15:00:00+00:00,118638.499945711478,-53734.578412415317,150216.403723633084
2021-12-13T16:00:00+00:00,1700.0000000000000000,0,150216.403723633084
2021-12-13T17:00:00+00:00,0,-6301.7462438516755847,148689.276617116620
2021-12-13T18:00:00+00:00,,,148689.276617116620
2021-12-13T19:00:00+00:00,156524.653358110908,-110512.190926180816,148689.276617116620
2021-12-13T20:00:00+00:00,0,-72684.840598538796,148689.276617116620
2021-12-13T21:00:00+00:00,0,-88001.376581769411,148689.276617116620
2021-12-13T22:00:00+00:00,3415.6706785232302704,0,148689.276617116620
2021-12-13T23:00:00+00:00,,,148689.276617116620
2021-12-14T00:00:00+00:00,,,148689.276617116620
2021-12-14T01:00:00+00:00,,,148689.276617116620
2021-12-14T02:00:00+00:00,53398.779603632928,0,148689.276617116620
2021-12-14T03:00:00+00:00,,,148689.276617116620
2021-12-14T04:00:00+00:00,,,148689.276617116620
2021-12-14T05:00:00+00:00,,,148689.276617116620
2021-12-14T06:00:00+00:00,56246.499714056890,-5535.0729606844355528,148689.276617116620
2021-12-14T07:00:00+00:00,87538.537905434851,-40014.020850756596,148689.276617116620
2021-12-14T08:00:00+00:00,,,148689.276617116620
2021-12-14T09:00:00+00:00,0,-810.0000000000000000,148689.276617116620
2021-12-14T10:00:00+00:00,171950.052451464046,-143817.340941940938,153452.204604698564
2021-12-14T11:00:00+00:00,36158.062021266754,-34219.8543594394117959,148689.276617116620
2021-12-14T12:00:00+00:00,0,-148087.458602969947,148689.276617116620
2021-12-14T13:00:00+00:00,,,148689.276617116620
2021-12-14T14:00:00+00:00,172177.876306339528,0,148689.276617116620
2021-12-14T15:00:00+00:00,,,148689.276617116620
2021-12-14T16:00:00+00:00,,,148689.276617116620
2021-12-14T17:00:00+00:00,239612.098165869889,-120783.210123871071,163300.122579045844
2021-12-14T18:00:00+00:00,208130.423590278039,-509403.132438266178,148689.276617116620
2021-12-14T19:00:00+00:00,139877.958874195283,-146045.866084031775,148689.276617116620
2021-12-14T20:00:00+00:00,,,148689.276617116620
2021-12-14T21:00:00+00:00,,,148689.276617116620
2021-12-14T22:00:00+00:00,,,148689.276617116620
2021-12-14T23:00:00+00:00,,,148689.276617116620
2021-12-15T00:00:00+00:00,1226.9653237386965312,0,148689.276617116620
2021-12-15T01:00:00+00:00,0,-5088.2446917241619532,148689.276617116620
2021-12-15T02:00:00+00:00,,,148689.276617116620
2021-12-15T03:00:00+00:00,,,148689.276617116620
2021-12-15T04:00:00+00:00,54523.1997030293693357,0,148689.276617116620
2021-12-15T05:00:00+00:00,165446.377826515386,0,148689.276617116620
2021-12-15T06:00:00+00:00,0,-5006.1179968488810405,148689.276617116620
2021-12-15T07:00:00+00:00,82196.650562619209,-31616.030153117885,158215.132592280507
2021-12-15T08:00:00+00:00,0,-15902.7253250140847975,302936.302699704848
2021-12-15T09:00:00+00:00,0,-40943.471436323168,302936.302699704848
2021-12-15T10:00:00+00:00,1691.4096234356615075,-5050.7906699953607865,302936.302699704848
2021-12-15T11:00:00+00:00,0,-5887.2815725523195490,302936.302699704848
2021-12-15T12:00:00+00:00,,,302936.302699704848
2021-12-15T13:00:00+00:00,88347.001420758817,0,302936.302699704848
2021-12-15T14:00:00+00:00,656697.866615058737,-736174.1905628631232130,220866.2200894418974010
2021-12-15T15:00:00+00:00,136568.088315739097,0,302148.148201788604
2021-12-15T16:00:00+00:00,75539.499788171771,-101041.048897469961,302936.302699704848
2021-12-15T17:00:00+00:00,0,-3328.7055197354285298,302936.302699704848
2021-12-15T18:00:00+00:00,294071.398594242187,-499526.947457427391,182488.105150181734
2021-12-15T19:00:00+00:00,383444.4233493741193408,-463253.033471131599,216286.933683246848
2021-12-15T20:00:00+00:00,0,-120291.249326162594,283884.590749377075
2021-12-15T21:00:00+00:00,5000.0000000000000000,0,283884.590749377075
2021-12-15T22:00:00+00:00,0,-109537.382031645339,148689.276617116620
2021-12-15T23:00:00+00:00,7823.4453745272144790,0,377480.456404033069
2021-12-16T00:00:00+00:00,12117.788455236876,-4304.7480035873569633,377480.456404033069
2021-12-16T01:00:00+00:00,17187.6688360358529215,0,377480.456404033069
2021-12-16T02:00:00+00:00,,,377480.456404033069
2021-12-16T03:00:00+00:00,223848.126563075618,0,377480.456404033069
2021-12-16T04:00:00+00:00,0,-41554.196599857598,377480.456404033069
2021-12-16T05:00:00+00:00,,,377480.456404033069
2021-12-16T06:00:00+00:00,988.3940798175054924,0,377480.456404033069
2021-12-16T07:00:00+00:00,,,377480.456404033069
2021-12-16T08:00:00+00:00,,,377480.456404033069
2021-12-16T09:00:00+00:00,3027.3446419673825734,-432559.827280053900,301216.729808394253
2021-12-16T10:00:00+00:00,,,301216.729808394253
2021-12-16T11:00:00+00:00,,,301216.729808394253
2021-12-16T12:00:00+00:00,0,-40021.852104184008,148689.276617116620
2021-12-16T13:00:00+00:00,4100.0000000000000000,0,148689.276617116620
2021-12-16T14:00:00+00:00,20000.002600000000,0,148689.276617116620
2021-12-16T15:00:00+00:00,70041.692476506428,0,559722.096489775781
2021-12-16T16:00:00+00:00,,,559722.096489775781
2021-12-16T17:00:00+00:00,69187.528941523071,0,559722.096489775781
2021-12-16T18:00:00+00:00,67109.356798826696,0,559722.096489775781
2021-12-16T19:00:00+00:00,,,559722.096489775781
2021-12-16T20:00:00+00:00,,,559722.096489775781
2021-12-16T21:00:00+00:00,0,-244963.798312502789,148689.276617116620
2021-12-16T22:00:00+00:00,48005.923835952312,0,148689.276617116620
2021-12-16T23:00:00+00:00,45837.771653977411,0,559722.096489775781
