hour,totalLQTYStaked,totalLQTYClaimed
2021-08-30T14:00:00+00:00,,8933695.367538756164776821000000000000000000
2021-08-30T16:00:00+00:00,,8934747.985841674066836021000000000000000000
2021-08-30T17:00:00+00:00,7631332.546556739503,8934936.837477463129481821000000000000000000
2021-08-30T18:00:00+00:00,7628906.914825770102,8935016.422329938725577221000000000000000000
2021-08-30T19:00:00+00:00,,8935509.123250398718117321000000000000000000
2021-08-30T20:00:00+00:00,7623173.382210997257,8935653.717313629292369921000000000000000000
2021-08-30T21:00:00+00:00,7622457.382125324664,8938040.100314580971219368000000000000000000
2021-08-30T22:00:00+00:00,7622153.772092373532,8938374.656651199229324923000000000000000000
2021-08-30T23:00:00+00:00,,8938619.145709906388738623000000000000000000
2021-08-31T00:00:00+00:00,7614632.232197816450,8940504.536007814951404923000000000000000000
2021-08-31T01:00:00+00:00,,8941360.701860800854040823000000000000000000
2021-08-31T02:00:00+00:00,7614713.022197816450,8941586.158975839026490223000000000000000000
2021-08-31T05:00:00+00:00,7626100.267782051445,8941740.007750760551767623000000000000000000
2021-08-31T06:00:00+00:00,7624120.213126617037,8942626.514237017650635223000000000000000000
2021-08-31T07:00:00+00:00,7625884.544040326240,8945326.328113025500931423000000000000000000
2021-08-31T09:00:00+00:00,7627782.117251080657,8946385.127068948269849123000000000000000000
2021-08-31T10:00:00+00:00,7629273.757474841387,8947452.355911917125732164000000000000000000
2021-08-31T11:00:00+00:00,7628928.800033943115,8949008.166218875925441064000000000000000000
2021-08-31T12:00:00+00:00,7627455.250033943115,8949008.166218875925441064000000000000000000
2021-08-31T13:00:00+00:00,7647507.127633906247,8950767.035147757597283346000000000000000000
2021-08-31T14:00:00+00:00,7685807.481375323551,8951194.284274142234426046000000000000000000
2021-08-31T15:00:00+00:00,7693428.664179177019,8953252.017691879446393246000000000000000000
2021-08-31T16:00:00+00:00,,8953331.336102555228077846000000000000000000
2021-08-31T17:00:00+00:00,7694136.615322722620,8953374.665619107558801346000000000000000000
2021-08-31T18:00:00+00:00,7694034.089942729622,8953389.740255714334591946000000000000000000
2021-08-31T19:00:00+00:00,,8953435.527464388317970846000000000000000000
2021-08-31T20:00:00+00:00,,8953509.284504220947140846000000000000000000
2021-08-31T22:00:00+00:00,7693890.599942729622,8953509.284504220947140846000000000000000000
2021-08-31T23:00:00+00:00,,8953514.250085098324456346000000000000000000
2021-09-01T00:00:00+00:00,,8956514.415434913716666646000000000000000000
2021-09-01T02:00:00+00:00,7693812.439942729622,8965946.209823285649486946000000000000000000
2021-09-01T04:00:00+00:00,7698589.915098959633,8966069.839941412104885455000000000000000000
2021-09-01T05:00:00+00:00,7698737.045098959633,8966217.669365182403518100000000000000000000
2021-09-01T07:00:00+00:00,7696527.385980744218,8967058.503565806485412700000000000000000000
2021-09-01T08:00:00+00:00,7695845.780497771926,8967058.503565806485412700000000000000000000
2021-09-01T09:00:00+00:00,7697845.780497771926,8968050.009763866300468800000000000000000000
2021-09-01T10:00:00+00:00,7696723.726659963457,8968050.009763866300468800000000000000000000
2021-09-01T11:00:00+00:00,7696534.117633907692,8968050.113804705371264400000000000000000000
2021-09-01T12:00:00+00:00,,8970331.167913340878778700000000000000000000
2021-09-01T13:00:00+00:00,7697507.977584489997,8970331.167913340878778700000000000000000000
2021-09-01T14:00:00+00:00,,8970335.705012423060595900000000000000000000
2021-09-01T16:00:00+00:00,7700158.147584489997,8970763.421084829188409800000000000000000000
2021-09-01T17:00:00+00:00,,8971474.830832603182190600000000000000000000
2021-09-01T18:00:00+00:00,7703298.237075802446,8973963.469598638466268900000000000000000000
2021-09-01T21:00:00+00:00,7703079.897075802446,8975910.297131934904176600000000000000000000
2021-09-01T22:00:00+00:00,7700835.013430583478,8975928.528846223311254869000000000000000000
2021-09-01T23:00:00+00:00,7700278.916763916811,8978584.576688615606273669000000000000000000
2021-09-02T00:00:00+00:00,,8979314.535724472857714655000000000000000000
2021-09-02T02:00:00+00:00,7700201.772551022002,8980166.424242002028676455000000000000000000
2021-09-02T03:00:00+00:00,7701484.554004418735,8980166.424242002028676455000000000000000000
2021-09-02T05:00:00+00:00,7701357.639004418735,8980290.445891505407090755000000000000000000
2021-09-02T06:00:00+00:00,7701254.434187302699,8985640.159981881195639355000000000000000000
2021-09-02T07:00:00+00:00,7703837.490134887370,8987308.480232999299838055000000000000000000
2021-09-02T08:00:00+00:00,7702449.298114144078,8987952.654503940998187355000000000000000000
2021-09-02T09:00:00+00:00,7702684.658114144078,8990756.960794209262372429000000000000000000
2021-09-02T10:00:00+00:00,,8994652.853743811636295029000000000000000000
2021-09-02T11:00:00+00:00,7702382.888114144078,8994938.186599006824074329000000000000000000
2021-09-02T12:00:00+00:00,7707024.878448018670,9000307.549438309339777229000000000000000000
