hour,lusdSupply
2021-04-18T03:00:00+00:00,541727213.948999999978329989000000000000000000
2021-04-18T04:00:00+00:00,539177630.468999999978603589000000000000000000
2021-04-18T05:00:00+00:00,536724164.148999999978603589000000000000000000
2021-04-18T06:00:00+00:00,537133552.148999999978140889000000000000000000
2021-04-18T07:00:00+00:00,536258052.148999999978140889000000000000000000
2021-04-18T08:00:00+00:00,537262034.148999999978245389000000000000000000
2021-04-18T09:00:00+00:00,535142306.148999999978573689000000000000000000
2021-04-18T10:00:00+00:00,984436300.889000003163489189000000000000000000
2021-04-18T11:00:00+00:00,982794371.889000003152618489000000000000000000
2021-04-18T12:00:00+00:00,980599173.889000003152912089000000000000000000
2021-04-18T13:00:00+00:00,978265942.469000003152832489000000000000000000
2021-04-18T14:00:00+00:00,975486683.179000003152663389000000000000000000
2021-04-18T15:00:00+00:00,1225203084.189000006338026589000000000000000000
2021-04-18T16:00:00+00:00,1224615301.189000006339255489000000000000000000
2021-04-18T17:00:00+00:00,1221471700.504000006330001789000000000000000000
2021-04-18T18:00:00+00:00,1219441028.734000006330757889000000000000000000
2021-04-18T19:00:00+00:00,1220613035.004000006332359889000000000000000000
2021-04-18T20:00:00+00:00,1220954785.004000006330454289000000000000000000
2021-04-18T21:00:00+00:00,1222464321.004000006330678189000000000000000000
2021-04-18T22:00:00+00:00,1223275290.784000006331503989000000000000000000
2021-04-18T23:00:00+00:00,1226425491.784000006330906989000000000000000000
2021-04-19T00:00:00+00:00,1226465291.784000006330976689000000000000000000
2021-04-19T01:00:00+00:00,1226957291.784000006320777689000000000000000000
2021-04-19T02:00:00+00:00,1227381389.794000006320966689000000000000000000
2021-04-19T03:00:00+00:00,1227555963.794000006321409489000000000000000000
2021-04-19T04:00:00+00:00,1230347583.314000006321235489000000000000000000
2021-04-19T05:00:00+00:00,1230703588.314000006320538989000000000000000000
2021-04-19T06:00:00+00:00,1225425275.314000006319986689000000000000000000
2021-04-19T07:00:00+00:00,1219932275.314000006319986689000000000000000000
2021-04-19T08:00:00+00:00,1219947837.314000006319986689000000000000000000
2021-04-19T09:00:00+00:00,1219937128.414000006319732989000000000000000000
2021-04-19T10:00:00+00:00,1219045067.687964312238160889000000000000000000
2021-04-19T11:00:00+00:00,1226852696.804262489074287889000000000000000000
2021-04-19T12:00:00+00:00,1226097395.067274514719712089000000000000000000
2021-04-19T13:00:00+00:00,1224205305.942084879316391489000000000000000000
2021-04-19T14:00:00+00:00,1217314305.134522398455512789000000000000000000
2021-04-19T15:00:00+00:00,1214731727.824522398455512789000000000000000000
2021-04-19T16:00:00+00:00,1214901727.809268246026197389000000000000000000
2021-04-19T17:00:00+00:00,1214375978.819268246026197389000000000000000000
2021-04-19T18:00:00+00:00,1214291384.570075925252097389000000000000000000
2021-04-19T19:00:00+00:00,1214000884.503082630985969689000000000000000000
2021-04-19T20:00:00+00:00,1214110217.263626510187228589000000000000000000
2021-04-19T21:00:00+00:00,1215074478.113626510186972289000000000000000000
2021-04-19T22:00:00+00:00,1214274478.123626510186972289000000000000000000
2021-04-19T23:00:00+00:00,1213176678.121973693786316989000000000000000000
2021-04-20T00:00:00+00:00,1213079212.121973693786316989000000000000000000
2021-04-20T01:00:00+00:00,1213027212.121973693786316989000000000000000000
2021-04-20T02:00:00+00:00,1211947765.846473341879316989000000000000000000
2021-04-20T03:00:00+00:00,1211413248.316473341879316989000000000000000000
2021-04-20T04:00:00+00:00,1211029923.316473341879316989000000000000000000
2021-04-20T05:00:00+00:00,1209432223.316473341879297089000000000000000000
2021-04-20T06:00:00+00:00,1209254344.316410773081045109000000000000000000
2021-04-20T07:00:00+00:00,1209287699.273311840501710409000000000000000000
2021-04-20T08:00:00+00:00,1209280699.273311840501710409000000000000000000
2021-04-20T09:00:00+00:00,1210410331.144265387160702009000000000000000000
2021-04-20T10:00:00+00:00,1210809330.960802093139253909000000000000000000
2021-04-20T11:00:00+00:00,1210829254.390107193865680817000000000000000000
2021-04-20T12:00:00+00:00,1210864254.384982081157359417000000000000000000
2021-04-20T13:00:00+00:00,1206090007.687805904563404817000000000000000000
2021-04-20T14:00:00+00:00,1206006088.651788140391469817000000000000000000
2021-04-20T15:00:00+00:00,1206004088.651788140391469817000000000000000000
2021-04-20T16:00:00+00:00,1206504088.651788140391550317000000000000000000
2021-04-20T17:00:00+00:00,1207278088.651788140392122917000000000000000000
2021-04-20T18:00:00+00:00,1208953190.612167489553962517000000000000000000
2021-04-20T19:00:00+00:00,1208801977.277561673523898359000000000000000000
2021-04-20T20:00:00+00:00,1208718911.777561673523898359000000000000000000
2021-04-20T21:00:00+00:00,1209324045.453841053459574659000000000000000000
2021-04-20T22:00:00+00:00,1208643126.132776307795439623000000000000000000
2021-04-20T23:00:00+00:00,1208308055.102819322560621123000000000000000000
2021-04-21T00:00:00+00:00,1208786054.935073591493099223000000000000000000
2021-04-21T01:00:00+00:00,1208544453.658891152633396723000000000000000000
2021-04-21T02:00:00+00:00,1208689453.563090069746701623000000000000000000
2021-04-21T03:00:00+00:00,1208892594.652209564987865423000000000000000000
2021-04-21T04:00:00+00:00,1209738326.299765838812363695000000000000000000
2021-04-21T05:00:00+00:00,1209741726.267939600145438695000000000000000000
2021-04-21T06:00:00+00:00,1207996984.538253532696358895000000000000000000
2021-04-21T07:00:00+00:00,1208701746.521522518048401695000000000000000000
2021-04-21T08:00:00+00:00,1207717540.512835159770769395000000000000000000
2021-04-21T09:00:00+00:00,1205098313.166795896829526795000000000000000000
2021-04-21T10:00:00+00:00,1205099571.448929909825430395000000000000000000
2021-04-21T11:00:00+00:00,1203442923.526780054165430395000000000000000000
2021-04-21T12:00:00+00:00,1203819684.951109952445264195000000000000000000
2021-04-21T13:00:00+00:00,1203905284.915247063484883253000000000000000000
2021-04-21T14:00:00+00:00,1204210435.189864585164052753000000000000000000
2021-04-21T15:00:00+00:00,1204160435.109093272064381953000000000000000000
2021-04-21T16:00:00+00:00,1206174062.018388898753019963000000000000000000
2021-04-21T17:00:00+00:00,1208314103.414422823990824363000000000000000000
2021-04-21T18:00:00+00:00,1209464213.451748047030506363000000000000000000
2021-04-21T19:00:00+00:00,1210408711.541940883105793863000000000000000000
2021-04-21T20:00:00+00:00,1212286725.157363614239714163000000000000000000
2021-04-21T21:00:00+00:00,1212970668.820263207064581263000000000000000000
2021-04-21T22:00:00+00:00,1213088668.765483937347401563000000000000000000
2021-04-21T23:00:00+00:00,1213182015.094369944443388363000000000000000000
2021-04-22T00:00:00+00:00,1213249115.094369944443303863000000000000000000
2021-04-22T01:00:00+00:00,1213210395.933369944443303863000000000000000000
2021-04-22T02:00:00+00:00,1211784375.259560058068369763000000000000000000
2021-04-22T03:00:00+00:00,1211814375.239399224342448677000000000000000000
2021-04-22T04:00:00+00:00,1211860375.192076066614237177000000000000000000
